geometry,latitude,longitude,cod_evento,circoscriz,data_event,causa,tipologia,civico_eve,cod_via,denominazi,x,y
"{""type"":""Point"",""coordinates"":[657644.396,4553513.133]}",4553513.133,657644.396,259,2,03/05/2017,dissesto marciapiede,caduta pedone,14/A,720012064,VIA GIUSEPPE CAPRUZZI,657644.396,4553513.133
"{""type"":""Point"",""coordinates"":[657273.832,4553454.054]}",4553454.054,657273.832,260,2,15/05/2017,dissesto marciapiede,caduta pedone,90,720012064,VIA GIUSEPPE CAPRUZZI,657273.832,4553454.054
"{""type"":""Point"",""coordinates"":[657503.541,4553521.879]}",4553521.879,657503.541,261,1,22/04/2017,tombino,caduta pedone,15,720012064,VIA GIUSEPPE CAPRUZZI,657503.541,4553521.879
"{""type"":""Point"",""coordinates"":[656858.641,4551734.28]}",4551734.28,656858.641,265,2,21/02/2017,dissesto marciapiede,caduta pedone,,700022702,VIA GIUSEPPE DEL DRAGO,656858.641,4551734.28
"{""type"":""Point"",""coordinates"":[657700.233,4551892.937]}",4551892.937,657700.233,267,2,22/01/2017,dissesto marciapiede,caduta pedone,,700021331,VIA GIUSEPPE PAVONCELLI,657700.233,4551892.937
"{""type"":""Point"",""coordinates"":[657196.544,4553346.93]}",4553346.93,657196.544,268,2,14/06/2017,dissesto manto stradale,danni auto,,700021757,VIA GIUSEPPE PISANELLI,657196.544,4553346.93
"{""type"":""Point"",""coordinates"":[655330.157,4551285.93]}",4551285.93,655330.157,269,2,26/01/2017,dissesto manto stradale,danni auto,,720010142,VIALE GIUSEPPE TATARELLA,655330.157,4551285.93
"{""type"":""Point"",""coordinates"":[657428.707,4548563.76]}",4548563.76,657428.707,271,3,12/08/2017,dissesto manto stradale,caduta pedone,42,700021056,VIA GIUSEPPE VERDI,657428.707,4548563.76
"{""type"":""Point"",""coordinates"":[658218.715,4553724.193]}",4553724.193,658218.715,272,1,06/10/2017,altro - caduta palo,danni auto,,700022739,VIA GORIZIA,658218.715,4553724.193
"{""type"":""Point"",""coordinates"":[659396.38,4551982.54]}",4551982.54,659396.38,274,1,07/02/2017,dissesto manto stradale,caduta pedone,23,700021834,VIA GUGLIELMO APPULO,659396.38,4551982.54
"{""type"":""Point"",""coordinates"":[657711.277,4553499.32]}",4553499.32,657711.277,275,2,13/01/2017,dissesto marciapiede,danni auto,,720010622,VIA GUGLIELMO OBERDAN,657711.277,4553499.32
"{""type"":""Point"",""coordinates"":[656734.54,4548501.58]}",4548501.58,656734.54,276,1,14/01/2017,altro - spartitraffico,danni auto,,700022072,VIA GUGLIELMO OBERDAN,656734.54,4548501.58
"{""type"":""Point"",""coordinates"":[657213.448,4552717.95]}",4552717.95,657213.448,277,2,31/05/2017,dissesto marciapiede,caduta pedone,8,700021262,VIA GUIDO DE RUGGIERO,657213.448,4552717.95
"{""type"":""Point"",""coordinates"":[657058.652,4552591.812]}",4552591.812,657058.652,278,2,26/02/2017,dissesto manto stradale,danni auto,44,720010234,VIA ISONZO,657058.652,4552591.812
"{""type"":""Point"",""coordinates"":[656887.64,4552909.291]}",4552909.291,656887.64,280,2,11/02/2017,dissesto marciapiede,caduta pedone,,700021081,VIA GIOVANNI LATERZA,656887.64,4552909.291
